"CYFZ"	"FY2H"	"FLWA"	"453W"	"684C"	"CZJE"	"925L"	"9JD4"	"G4YW"	"4DUY"	"36TS"	"CR3L"
"RP11-206L10.9"	21.3162549760444	19.6687251967563	26.1857346203671	15.9459662135121	29.8000951138421	17.8343314401301	38.8338085410886	33.0521680782259	23.2563140645144	31.7460728223425	12.0261057135857	27.6940646811205
"LINC01128"	12.3376422354019	18.8499165745008	23.94739587612	13.9912709521856	8.22318848398678	24.9024827095924	19.0146746963877	13.8936558473526	12.7119938782232	28.7723672925481	12.9020619164049	14.5250168295917
"LINC00115"	1.88932125826746	3.41123400408695	3.23171115323653	4.63406224906728	5.37292051354178	4.49792317862854	2.15342211386917	2.29654551326513	2.13862409827885	3.30168010435369	3.65263857018821	3.40835083818338
"NOC2L"	43.4658861168182	46.4253616337305	44.0427040818531	50.3946862518559	63.7162856645313	47.9053619004771	45.4611842341668	43.0122835242809	32.1407074812988	46.8067923978395	41.7412726324963	46.4326440151222
"KLHL17"	2.95303284572349	1.47573077046113	4.89483117479074	2.31092915796323	2.49217061298239	2.20579490883355	2.90835073905008	2.00743012942777	2.6645957115692	2.56946433248659	1.57309728861856	2.44756195951575
"PLEKHN1"	0.89536440126401	1.09464954361493	0.987571782139829	1.44444843937154	1.72228725875596	0.741064086405473	1.86679967319004	0.659257920180845	1.04938898864498	1.44816405303585	0.153181530720692	1.4023471147753
"ISG15"	25.3693697867612	60.0769505258006	26.5935107130258	20.6704645432133	29.7880462264189	23.4669093811351	14.9957963426994	41.9526321150417	34.6297238954721	15.734313719981	16.2245317099863	30.2511168197613
"AGRN"	0.68800955833948	1.60805815330746	2.17777525361135	0.75770824318069	4.09740563639197	2.29182715331302	1.37814664882066	0.56433893104614	0.616098774419693	1.1754848497373	0.731062767827108	3.17413463319574
"RP11-465B22.3"	4.70739323441499	8.42595289034108	6.28321118915481	14.8477742525261	13.1929984073573	12.4579369957924	6.35267704099913	10.0727508108509	1.55467639031525	4.04024828016792	6.09786518416952	8.23218010593403
"C1orf159"	9.69989620905875	10.0670436887491	7.62029958600394	8.80054227890923	13.7217818571119	14.2407492564816	5.28943250466834	12.9649392974131	12.9255605267836	13.88125321264	9.7686460921034	11.4541036623658
